# BAM files: ~/data/SOC/SOC-2745-226696.bam, ~/data/SOC/SOC-2774-227362.bam, ~/data/SOC/SOC-5936-294158.bam, ~/data/SOC/SOC-6075-291944.bam, ~/data/SOC/SOC-6752-315581.bam, ~/data/SOC/SOC-7165-343100.bam, ~/data/SOC/SOC-7637-361542.bam, ~/data/SOC/SOC-7777-371281.bam, ~/data/SOC/SOC-8272-401299.bam, ~/data/SOC/SOC-11199-480891.bam, ~/data/SOC/SOC-849-206653.bam, ~/data/SOC/SOC-1255-501160.bam, ~/data/SOC/SOC-2427-221981.bam, ~/data/SOC/SOC-2674-224814.bam, ~/data/SOC/SOC-2742-225553.bam, ~/data/SOC/SOC-4808-260525.bam, ~/data/SOC/SOC-5439-266610.bam, ~/data/SOC/SOC-5606-277617.bam, ~/data/SOC/SOC-5653-277626.bam, ~/data/SOC/SOC-5691-278006.bam
# phenotypes: chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive
# total alignments: 14612031, 106336729, 18330606, 112217237, 14635266, 15379488, 12814697, 13461028, 17491779, 16221093, 14494734, 13801318, 14949521, 18045259, 17407390, 15334240, 14903259, 13804476, 18588809, 18601214
# annotations: /home/cwarth/R/x86_64-unknown-linux-gnu-library/3.0/qarp/python/hg19-refSeq-union.gtf
# gene count: 16897
# interactive: FALSE
# commandline: --genefile /home/cwarth/data/SOC/genelist.txt
# date: 2013-11-15 09:48:38
gene	raw	rpm	area
GATA2	0.35	0.591	0.528
GATA3	0.907	0.915	0.147
GJB2	0.915	0.965	0.094
GPR34	0.023	0.191	0.706
GRM6	0.08	0.247	0.362
GTF2IRD2B	0.056	0.026	0.287
HHLA3	0.069	0.069	0.189
HIST1H2AD:HIST1H3D	0.462	0.031	0.002
HIST1H4E	0.491	0.082	0.316
HS6ST3*	0.221	0.54	0.553
IL11	0.066	0.166	0.661
JAM2	0.111	0.212	0.703
KCNH3	0.325	0.616	0.829
KCNS2*	0.846	0.679	0.027
KCNV1*	0.074	0.185	0.096
KIF17	0.006	0.052	0.11
KLHDC7B	0.179	0.016	0.871
KLHL13*	0.017	0.039	0.019
KRBA2	0.005	0.088	0.119
LILRA6	0.413	0.752	0.035
LIPH	0.304	0.48	0.814
LIX1L	0.069	0.23	0.72
LOC100128071	0.028	0.184	0.264
LOC100130581	0.166	0.359	0.328
LOC100130987	0.043	0.109	0.053
LOC100233209	0.293	0.552	0.323
LOC100289410	0.233	0.552	0.77
LOC149134	0.014	0.029	0.365
LOC285830	0.992	0.024	0.088
LOC349408	0.159	0.047	0.007
LOC386597	0.018	0.024	0.141
LOC389493	0.73	0.293	0.862
LOC389765	0.356	0.567	0.152
LOC401109*	0.404	0.425	0.41
LOC441617	0.312	0.236	0.897
LOC541473	0.018	0.016	0.007
LOC646903*	0.207	0.42	0.658
LOC729013	0.531	0.643	0.232
LRP1B*	0.51	0.068	0.904
LRRC33	0.254	0.909	0.471
LRRC46	0.078	0.128	0.534
LST1	0.26	0.042	0.347
LY6G6C	0.165	0.077	0.037
LYG1	0.353	0.948	0.578
LYPD3*	0.071	0.161	0.26
MATK	0.622	0.581	0.225
MATN1	0.039	0.156	0.802
MEIS3	0.114	0.257	0.063
MIR1260B	0.331	0.62	0.707
MIR614*	0.358	0.467	0.869
MRGPRF	0.007	0.037	0.871
NCRNA00175	0.234	0.731	0.285
NEDD4	0.568	0.598	0.464
NRXN2	0.047	0.23	0.537
NTN3*	0.102	0.391	0.729
NUDT17	0.199	0.451	0.883
OVCH1	0.937	0.706	0.529
OVOL1*	0.039	0.178	0.649
PAEP*	0.593	0.647	0.088
PAK7*	0.008	0.008	0.086
PARK2	0.057	0.054	0.326
PARP15	0.089	0.039	0.984
PDE7B	0.042	0.013	0.029
PGF	0.63	0.719	0.049
PKHD1L1	0.3	0.221	0.26
PLD4	0.515	0.901	0.334
POM121L8P	0.093	0.096	0.079
PREX2	0.651	0.155	0.626
PROM1	0.957	0.718	0.804
PRSS53	0.008	0.032	0.528
RAB39*	0.226	0.834	0.929
RBP7	0.046	0.194	0.604
RCAN2	0.865	0.566	0.183
RD3*	0.03	0.028	0.544
RP1*	0.45	0.514	0.781
S100A2	0.617	0.974	0.505
SCN4B	0.827	0.604	0.56
SCN8A	0.63	0.375	0.231
SCUBE3	0.139	0.303	0.923
SGPP1	0.254	0.011	0.181
SIRT4	0.011	0.213	0.989
SLC16A13	0.061	0.13	0.001
SLC26A9	0.124	0.11	0.099
SLC27A6	0.342	0.933	0.816
SLC6A14*	0.061	0.055	0.228
SLCO5A1*	0.109	0.078	0.47
SLX1A:SLX1A-SULT1A3:SLX1B:SLX1B-SULT1A4:SULT1A3:SULT1A4	0.36	0.424	0.434
SP140	0.221	0.057	0.929
STAT4	0.265	0.174	0.614
STOX2	0.049	0.302	0.278
STRC	0.911	0.612	0.671
TEK	0.414	0.189	0.073
TMEM20	0.079	0.201	0.835
TMPRSS2	0.043	0.229	0.765
TNFAIP6	0.28	0.255	0.346
TNFAIP8L3	0.051	0.212	0.135
VIPR1	0.214	0.782	0.6
WISP2*	0.038	0.153	0.935
XKR5*	0.187	0.261	0.245
ZCCHC12*	0.035	0.071	0.103
ZDHHC8P1	0.019	0.09	0.477
ZNF287	0.456	0.368	0.71
ZNF365*	0.358	0.487	0.365
ZNF383	0.671	0.031	0.022
ZNF391	0.404	0.259	0.35
ZNF697	0.227	0.84	0.406
ZNF726	0.104	0.17	0.408
ZNF792	0.084	0.732	0.815
ZNF815	0.026	0.092	0.001
ACRBP	0.273	0.726	0.279
ACTG2	0.505	0.768	0.133
ADC	0.019	0.15	0.902
ADORA2B	0.223	0.078	0.021
ALOX15B	0.192	0.158	0.413
ALPK2*	0.539	0.579	0.427
ANKRD22	0.051	0.064	0.208
APBA1	0.039	0.119	0.077
ARHGAP42	0.747	0.166	0.9
ASTL*	0.051	0.094	0.315
ATP13A4*	0.006	0.021	0.097
ATPBD4:MIR3942	0.928	0.049	0.761
BCL6B	0.178	0.407	0.159
BDNF	0.769	0.927	0.86
C12orf60	0.176	0.645	0.286
C17orf67	0.111	0.061	0.014
C19orf51	0.096	0.354	0.821
C1orf133	0.234	0.659	0.718
C1orf182	0.417	0.195	0.337
C20orf165	0.248	0.437	0.103
C20orf46	0.611	0.353	0.005
C2CD4D*	0.313	0.739	0.23
C3orf42	0.164	0.974	0.968
C6orf226	0.531	0.153	0.047
CACNA1A	0.824	0.85	0.348
CACNA1D	0.495	0.802	0.527
CACNA2D4	0.164	0.728	0.308
CASC2	0.248	0.965	0.612
CBWD6	0.467	0.188	0.594
CCDC122	0.065	0.367	0.485
CCDC65	0.136	0.555	0.378
CDC42EP5	0.161	0.509	0.183
CDKL3	0.024	0.03	0.252
CDSN	0.14	0.598	0.817
CGB7*	0.123	0.333	0.118
CHN2	0.1	0.531	0.185
CHST6	0.167	0.111	0.119
CLDN10	0.617	0.387	0.197
CNGB3*	0.265	0.186	0.063
CNN1	0.23	0.48	0.002
CNTNAP4*	0.212	0.326	0.789
COL4A3	0.132	0.292	0.851
COPZ2:MIR152	0.435	0.701	0.432
CPNE5	0.161	0.037	0.579
CR1L*	0.658	0.893	0.785
CST7	0.342	0.237	0.851
CTLA4*	0.025	0.014	0.695
CYP2F1	0.202	0.487	0.185
CYP4F3	0.077	0.135	0.17
DACT2	0.368	0.396	0.337
DAND5	0.033	0.038	0.219
DCLK1:MAB21L1:MIR548F5	0.026	0.046	0.152
DCST2	0.175	0.845	0.916
DGKG	0.391	0.503	0.067
DIRC3	0.599	0.602	0.833
DLX5	0.017	0.087	0.883
DUXA	0.096	0.067	0.67
ENTPD2	0.202	0.612	0.694
EYA4	0.1	0.324	0.396
FAM184B	0.146	0.939	0.706
FAM26E	0.087	0.19	0.394
FAM41C	0.481	0.796	0.576
FAM89A:MIR1182	0.022	0.088	0.797
FCGR1A	0.136	0.373	0.016
FCGR2C	0.525	0.959	0.768
FGFBP3	0.39	0.041	0.028
FKBP1B	0.017	0.04	0.385
GCNT3	0.621	0.553	0.199
GPR4	0.186	0.016	0.101
GPR63	0.52	0.166	0.177
GRIN2C	0.494	0.67	0.106
GVINP1	0.064	0.021	0.029
HBA2	0.839	0.905	0.304
HCG4	0.995	0.02	0.636
HERV-V1	0.082	0.307	0.721
HOXD8	0.353	0.559	0.1
HTR3A	0.372	0.479	0.309
HTRA3	0.028	0.13	0.426
IL7	0.47	0.311	0.325
ILDR2	0.119	0.149	0.78
KCNS3	0.653	0.766	0.975
KGFLP2	0.023	0.117	0.796
KLHL11	0.398	0.34	0.443
KRT14	0.412	0.302	0.421
LAX1	0.074	0.013	0.143
LIPG	0.593	0.071	0.454
LOC100129518	0.367	0.033	0.236
LOC100129716	0.072	0.356	0.369
LOC100271836	0.464	0.354	0.482
LOC100289373	0.268	0.189	0.136
LOC100294145	0.778	0.015	0.112
LOC121456	0.021	0.031	0.222
LOC283888	0.332	0.087	0.189
LOC285033	0.276	0.957	0.719
LOC285103	0.201	0.07	0.461
LOC338651	0.049	0.089	0.048
LOC399815*	0.248	0.691	0.622
LRRC10B	0.006	0.017	0.316
LRRC50	0.051	0.141	0.04
LTF	0.526	0.272	0.659
LYL1	0.131	0.356	0.955
MAP6	0.18	0.569	0.604
ME1	0.817	0.12	0.075
MIR1279*	0.191	0.509	0.59
MIR153-1:PTPRN*	0.283	0.403	0.115
MIR612	0.796	0.789	0.535
MLLT11	0.034	0.056	0.249
MMD	0.612	0.363	0.205
MPP3	0.16	0.64	0.632
MYLK3	0.077	0.086	0.375
NBEA	0.059	0.135	0.363
NEK5	0.051	0.102	0.09
NIPA1	0.603	0.28	0.569
NPTX1	0.003	0.018	0.827
PCBP3*	0.004	0.003	0.19
PCDHB4	0.066	0.069	0.072
PIK3R6	0.125	0.696	0.984
PKD2L2	0.37	0.449	0.668
PLA2G2D*	0.046	0.047	0.916
POLR3G	0.617	0.338	0.947
POM121L10P	0.464	0.095	0.704
PRSS45	0.141	0.553	0.237
PRSS50	0.169	0.575	0.608
PRSS54	0.087	0.37	0.339
psiTPTE22	0.066	0.087	0.414
RAMP2	0.031	0.088	0.003
RASD1	0.723	0.836	0.349
RBM44*	0.183	0.463	0.265
RDM1	0.095	0.475	0.429
REEP1	0.138	0.3	0.438
RFTN2	0.054	0.203	0.602
RHOH	0.056	0.042	0.352
RLN1*	0.843	0.732	0.779
RNF217	0.258	0.023	0.066
RPL23AP82	0.085	0.231	0.112
SATB2	0.568	0.169	0.029
SEPT3	0.677	0.42	0.226
SERPINI2*	0.759	0.091	0.417
SH2D5	0.093	0.236	0.144
SLC22A20	0.558	0.245	0.9
SLC25A34	0.098	0.219	0.349
SNAI1	0.031	0.142	0.115
SNCAIP	0.133	0.571	0.231
SPOCK1	0.024	0.136	0.213
SRL	0.238	0.306	0.652
ST6GALNAC3	0.106	0.118	0.412
SV2C*	0.957	0.901	0.999
SYTL5*	0.966	0.933	0.5
TBC1D30	0.177	0.676	0.179
TLR1	0.669	0.825	0.407
TMEM130	0.3	0.277	0.363
TMEM26	0.309	0.307	0.949
TNFRSF11A	0.114	0.498	0.487
TNFRSF18	0.194	0.167	0.242
TRIM9	0.26	0.594	0.462
TRPC1	0.044	0.111	0.238
TRPV3*	0.253	0.487	0.902
TSHZ3	0.032	0.11	0.001
TTC36	0.119	0.596	0.682
TUBA8	0.757	0.02	0.106
UNC5C	0.161	0.179	0.501
VGLL3	0.335	0.736	0.465
WNT11	0.259	0.951	0.916
WNT3A*	0.087	0.227	0.288
WNT8B*	0.583	0.719	0.106
ZNF487P	0.234	0.913	0.867
ABCA6	0.074	0.234	0.152
ABCA8	0.035	0.076	0.691
ABCG4*	0.114	0.409	0.252
ACSBG2	0.024	0.067	0.173
ADAMTS8	0.12	0.365	0.883
AGBL3	0.211	0.611	0.044
AGPAT9	0.152	0.478	0.329
ANKRD30BL:MIR663B*	0.109	0.77	0.488
APOD*	0.09	0.218	0.297
ARHGAP15	0.128	0.068	0.971
ARID3A	0.121	0.492	0.904
BCRP2	0.428	0.311	0.261
BTBD11	0.684	0.503	0.941
C12orf56	0.729	0.619	0.917
C14orf86*	0.245	0.898	0.072
C16orf55	0.151	0.436	0.034
C19orf77*	0.7	0.731	0.034
C6orf201	0.296	0.61	0.059
C6orf57	0.433	0.162	0.543
C7orf58	0.087	0.241	0.902
C8orf47	0.89	0.08	0.041
C9orf103	0.822	0.192	0.623
C9orf173	0.778	0.807	0.869
C9orf24*	0.045	0.051	0.276
CACNA1H	0.231	0.44	0.277
CATSPER2P1	0.366	0.073	0.205
CCDC155*	0.972	0.905	0.762
CCDC67*	0.405	0.804	0.78
CD33	0.515	0.947	0.298
CDH18*	0.858	0.849	0.255
CDHR2	0.008	0.008	0.23
CDKL5	0.736	0.721	0.683
CERKL	0.13	0.033	0.002
CHI3L2	0.966	0.863	0.24
CHRNB2	0.093	0.668	0.235
CLDN5	0.17	0.363	0.868
CLIC6	0.273	0.286	0.178
CMTM1	0.301	0.967	0.671
CNFN	0.01	0.122	0.576
COL10A1	0.81	0.008	0.306
COX6B2	0.02	0.019	0.861
DCAF12L2	0.561	0.806	0.938
DGCR5*	0.012	0.054	0.613
DGKH	0.431	0.06	0.113
DPF3	0.506	0.596	0.081
EBF1	0.323	0.845	0.923
EDARADD	0.089	0.064	0.096
EEF1A2*	0.01	0.011	0.318
FAM151A	0.167	0.527	0.068
FCGR2B	0.567	0.616	0.149
FHOD3	0.023	0.079	0.243
FKBP1AP1	0.371	0.751	0.439
FLJ35024*	0.108	0.437	0.249
FLJ39739:LOC100286793	0.21	0.317	0.189
FLT3LG	0.72	0.453	0.969
FOXF1	0.004	0.018	0.008
GAB3	0.782	0.412	0.689
GABRA2*	0.026	0.024	0.297
GIPR:MIR642A	0.142	0.286	0.443
GLIPR1L2	0.006	0.004	0.928
GPD1*	0.323	0.563	0.866
GPER	0.017	0.117	0.206
GSDMA*	0.071	0.097	0.737
GUSBP3	0.03	0.062	0.519
HOXA6*	0.872	0.985	0.996
HPGD	0.376	0.686	0.617
IL12RB2	0.103	0.005	0.181
IPCEF1	0.615	0.078	0.126
IRF4	0.017	0.019	0.508
ITGA9	0.562	0.195	0.362
ITGB3	0.386	0.243	0.074
ITGBL1	0.743	0.698	0.319
ITPRIPL1	0.542	0.498	0.336
JAKMIP3	0.091	0.435	0.616
KCNC1*	0.051	0.253	0.741
KRT38*	0.138	0.254	0.52
LGALS2	0.121	0.113	0.248
LILRA5	0.224	0.138	0.463
LOC100126784	0.246	0.41	0.208
LOC100130691	0.094	0.37	0.185
LOC100130890	0.037	0.022	0.033
LOC100130954	0.023	0.028	0.714
LOC100133545	0.143	0.232	0.833
LOC100289230	0.462	0.769	0.308
LOC144486*	0.11	0.73	0.68
LOC339524	0.022	0.081	0.705
LOC345643*	0.315	0.306	0.498
LOC375190	0.009	0.051	0.371
LOC387723	0.12	0.617	0.454
LOC442497	0.001	0.002	0.576
LOC644172	0.486	0.568	0.281
LOC728855	0.292	0.76	0.253
LOC728989	0.141	0.752	0.913
LOC730668*	0.038	0.026	0.186
LRRC25	0.132	0.042	0.077
MIR221	0.089	0.256	0.476
MIR3911	0.003	0.04	0.909
MIR548Q*	0.153	0.551	0.632
MS4A14	0.357	0.799	0.137
N6AMT2	0.144	0.387	0.4
NPFF	0.146	0.874	0.347
NPR3	0.932	0.982	0.489
NPTX2	0.071	0.203	0.354
NTNG2	0.61	0.298	0.571
NUDT7	0.604	0.509	0.96
OR2T11*	1	1	1
P2RX5*	0.003	0.004	0.103
P2RX6*	0.001	0.014	0.943
PDYN*	0.717	0.668	0.555
PKIB	0.9	0.573	0.804
POU6F2*	0.797	0.873	0.444
PRSS1	0.679	0.49	0.833
PTGER2	0.536	0.905	0.216
PTGER3*	0.268	0.362	0.342
RFPL2*	0.505	0.907	0.356
RGS9BP*	0.719	0.704	0.805
RHD	0.231	0.681	0.269
RSPH4A	0.024	0.048	0.138
SBSN	0.258	0.4	0.475
SHE	0.02	0.144	0.446
SIGLEC7	0.317	0.289	0.226
SLC22A4	0.162	0.222	0.491
SLC26A4	0.064	0.06	0.153
SNAI2	0.075	0.227	0.95
SOBP	0.054	0.159	0.893
SOCS2	0.446	0.825	0.001
SPATA12	0.824	0.16	0.564
SPATA1	0.969	0.871	0.786
SRPX	0.072	0.219	0.617
ST8SIA1	0.037	0.07	0.129
SULT4A1	0.389	0.921	0.273
TESC	0.127	0.376	0.477
TEX101*	0.034	0.037	0.627
THSD1	0.319	0.395	0.079
THSD7A	0.021	0.094	0.154
TIGD3*	0.099	0.61	0.396
TLR5	0.263	0.919	0.611
TMEM108	0.141	0.508	0.062
TMOD4	0.919	0.848	0.102
TNFRSF10D	0.096	0.452	0.269
TRIM69	0.406	0.199	0.461
TSPAN10*	0.338	0.801	0.209
TSSK2	0.268	0.51	0.178
TUBA3D	0.043	0.303	0.598
TWIST1	0.349	0.543	0.649
UPK2*	0.043	0.089	0.706
VSIG1	0.027	0.027	0.02
WASF3	0.042	0.061	0.232
WHAMML1	0.287	0.391	0.16
XIRP2*	0.005	0.005	0.023
ZC3H12B	0.161	0.149	0.291
ZNF114	0.067	0.085	0.119
ZNF599	0.018	0.201	0.546
ZNF98	0.332	0.456	0.941
AANAT	0.627	0.539	0.599
AK7	0.389	0.788	0.35
ALG14	0.192	0.861	0.701
AMH:MIR4321	0.111	0.341	0.638
ANKRD58	0.762	0.203	0.449
ARL10	0.061	0.276	0.435
ARMC2	0.118	0.522	0.248
ASAM	0.072	0.226	0.6
ASPDH	0.039	0.065	0.327
AVPR1A	0.505	0.156	0.067
B4GALNT1	0.008	0.025	0.342
BCL2L15	0.074	0.151	0.019
BEX1	0.416	0.78	0.458
BHLHA15	0.692	0.233	0.128
C10orf111	0.238	0.333	0.279
C17orf87	0.122	0.585	0.177
C19orf76	0.366	0.127	0.822
C1orf101	0.578	0.865	0.644
C1orf228	0.196	0.314	0.101
C1orf92*	0.001	0.001	0.358
C21orf122	0.023	0.408	0.596
C2orf76	0.454	0.167	0.852
C4orf39	0.243	0.903	0.585
C8orf31	0.281	0.452	0.171
C9orf163	0.597	0.962	0.465
CA14	0.047	0.087	0.319
CATSPERG	0.11	0.288	0.084
CBFA2T3	0.098	0.307	0.806
CCDC110	0.057	0.212	0.077
CCDC81	0.092	0.384	0.444
CCL13*	0.276	0.292	0.445
CD164L2	0.002	0.002	0.021
CD300C	0.707	0.552	0.598
CD300LF*	0.31	0.064	0.315
CDHR5	0.632	0.756	0.413
CDK5R1	0.099	0.32	0.282
CECR6	0.792	0.95	0.755
CETP	0.313	0.212	0.033
CHST5	0.056	0.113	0.332
CLDN8*	0.786	0.782	0.744
CLIC2	0.266	0.984	0.892
CLSTN2	0.03	0.141	0.229
CNTN3*	0.515	0.987	0.201
CORO6	0.581	0.505	0.184
CPXM2	0.011	0.041	0.385
CR2*	0.988	0.965	0.549
CTNNA2	0.198	0.669	0.018
DACT3	0.003	0.029	0.702
DARC	0.214	0.493	0.322
DDX25*	0.224	0.485	0.047
DEFB126*	0.373	0.73	0.55
DEPDC5	0.56	0.124	0.051
DGCR9*	0.011	0.085	0.711
DNAJC12*	0.051	0.25	0.4
DPH3P1	0.332	0.699	0.053
DZIP1L	0.335	0.427	0.472
EAF2	0.517	0.047	0.549
ECM2	0.543	0.529	0.979
EFCAB6	0.274	0.529	0.054
EFHB	0.087	0.365	0.976
ENOX1	0.07	0.214	0.477
ENPP3*	0.285	0.643	0.872
EPHA3	0.052	0.122	0.107
ETV1	0.146	0.461	0.747
FAM132A	0.307	0.579	0.04
FAM149A	0.021	0.153	0.913
FAM154B	0.003	0.004	0.692
FAM155B*	0.277	0.488	0.116
FBXL22	0.117	0.633	0.496
FBXO36	0.137	0.494	0.118
FEZ1	0.007	0.019	0.022
FLJ32224	0.086	0.256	0.037
FLJ36644*	0.156	0.645	0.296
FLJ39534	0.161	0.643	0.869
FLRT1	0.379	0.43	0.603
FOXN4*	0.005	0.005	0.398
FSD1	0.011	0.031	0.542
GABRE:MIR452	0.738	0.558	0.701
GAD1	0.033	0.052	0.733
GJC2	0.012	0.006	0.72
GP6	0.049	0.08	0.377
GPR109A	0.635	0.818	0.677
GPR157	0.319	0.595	0.021
GPR89B:GPR89C	0.378	0.518	0.28
GPR97	0.589	0.876	0.968
GREB1L	0.094	0.235	0.149
GRIK3	0.445	0.128	0.588
GSTT2	0.113	0.496	0.626
GUCA1B	0.094	0.073	0.116
GUSBL1	0.047	0.137	0.623
GZMK*	0.331	0.249	0.036
HLA-J	0.628	0.047	0.19
HSD17B13	0.048	0.052	0.583
HVCN1	0.752	0.324	0.456
IGF2BP1*	0.115	0.248	0.593
IKZF3	0.545	0.547	0.984
IL20RA	0.782	0.672	0.921
IRX1*	0.75	0.609	0.79
IRX3	0.612	0.766	0.167
KGFLP1	0.046	0.322	0.58
KIAA1755	0.142	0.491	0.056
LGALS17A*	0.044	0.039	0.142
LOC100128054*	0.055	0.059	0.138
LOC100129250	0.977	0.273	0.917
LOC100132891	0.641	0.857	0.667
LOC100144604	0.914	0.739	0.228
LOC100292680	0.426	0.422	0.129
LOC147670	0.066	0.335	0.28
LOC148696	0.341	0.925	0.51
LOC220594	0.572	0.488	0.59
LOC286367	0.196	0.52	0.219
LOC342918	0.18	0.794	0.187
LOC400043	0.316	0.803	0.143
LOC440028*	0.035	0.085	0.099
LOC442421	0.01	0.01	0.649
LOC648809	0.469	0.013	0.171
LOC653075	0.005	0.008	0.081
LOC653712	0.303	0.618	0.039
LOC729080	0.303	0.72	0.927
LOC729178	0.247	0.515	0.532
LRRC15	0.386	0.464	0.803
LRRC48	0.044	0.167	0.443
LRRC4B	0.004	0.003	0.155
LTK	0.392	0.287	0.117
LYVE1	0.286	0.662	0.986
MAG	0.223	0.48	0.054
MATN3	0.042	0.31	0.92
MCOLN3	0.853	0.562	0.344
MGC39372	0.587	0.43	0.008
MRO	0.113	0.132	0.476
MYRIP	0.691	0.657	0.136
NKAIN4*	0.158	0.233	0.521
NKPD1	0.204	0.289	0.485
NKX6-1*	0.348	0.886	0.653
NLRP3	0.251	0.578	0.32
NPAS1	0.997	0.638	0.672
NR5A2	0.248	0.065	0.177
NTSR1*	0.027	0.077	0.678
ODZ2*	0.882	0.913	0.097
OSGIN1	0.399	0.748	0.881
PAQR8	0.136	0.274	0.033
PAR-SN:SNORD107	0.067	0.044	0.06
PCDH8*	0.191	0.19	0.594
PCDHB10	0.057	0.042	0.601
PLEKHG7*	0.585	0.817	0.492
PON1*	0.755	0.354	0.657
PPM1L	0.037	0.243	0.697
PPM1N	0.161	0.607	0.921
PPP1R3G	0.64	0.072	0.134
PRDM5	0.146	0.32	0.233
PRKG2*	0.569	0.727	0.043
PROC	0.025	0.076	0.162
RASGRP4	0.034	0.06	0.046
REM2	0.042	0.428	0.549
RHOJ	0.097	0.3	0.432
RLN2	0.271	0.03	0.29
RUNX1T1	0.086	0.183	0.379
S1PR4	0.133	0.109	0.643
SAMD14	0.493	0.656	0.515
SCARNA2	0.646	0.726	0.349
SERAC1	0.8	0.032	0.157
SERPINB5*	0.199	0.762	0.754
SERPINF2	0.392	0.394	0.41
SLC12A1*	0.07	0.006	0.698
SLC13A4	0.249	0.901	0.973
SLC8A2*	0.288	0.508	0.266
SLC9A5	0.082	0.427	0.963
SOX11*	0.137	0.368	0.152
SPATA17	0.151	0.57	0.139
ST8SIA5	1	0.98	0.67
STK31	0.848	0.85	0.997
TARP*	0.038	0.038	0.738
TBX20*	0.394	0.561	0.028
TEKT2	0.105	0.285	0.212
TIGD4	0.529	0.171	0.1
TLE6*	0.214	0.462	0.72
TLL2*	0.01	0.048	0.429
TNNC2	0.644	0.876	0.389
TNNT3*	0.965	0.932	0.881
TOX	0.393	0.961	0.68
TREH*	0.109	0.215	0.588
TRIM7	0.03	0.006	0.68
TTC39A	0.669	0.291	0.104
TULP1*	0.391	0.397	0.339
UGT1A1:UGT1A10:UGT1A3:UGT1A4:UGT1A5:UGT1A6:UGT1A7:UGT1A8:UGT1A9*	0.049	0.053	0.327
UNC13A	0.251	0.904	0.641
UNC5CL	0.349	0.592	0.06
WBSCR27	0.306	0.774	0.567
WDR86	0.001	0.002	0.979
WFDC3	0.72	0.785	0.422
ZNF354C	0.087	0.57	0.429
ZNF541*	0.579	0.466	0.593
ZNF573	0.453	0.227	0.489
ZNF624	0.627	0.052	0.141
ZNF643	0.631	0.011	0.012
ZSCAN10*	0.102	0.448	0.214
ABCA13	0.139	0.29	0.367
ABCB5	0.083	0.084	0.793
ACRC	0.224	0.186	0.533
ADAMTSL2	0.06	0.124	0.192
ADAMTSL5*	0.004	0.009	0.57
ADCYAP1R1	0.426	0.863	0.996
AFF2	0.927	0.306	0.745
AGBL4:BEND5	0.093	0.342	0.81
AGRP	0.004	0.014	0.598
AKR1CL1*	0.119	0.129	0.563
ANKRD1*	0.729	0.821	0.63
ANKRD19	0.089	0.055	0.18
ANKRD34A	0.997	0.998	0.794
ANKRD56	0.449	0.235	0.307
ANO3*	0.415	0.856	0.472
ARL9*	0.309	0.72	0.117
B3GALT5*	0.045	0.145	0.412
B3GNT5	0.362	0.643	0.328
BAALC:MIR3151	0.872	0.379	0.611
BIRC7:MIR3196*	0.088	0.172	0.231
BMP2	0.968	0.927	0.921
BSND*	0.344	0.579	0.035
C11orf42	0.102	0.414	0.709
C11orf66	0.009	0.002	0.1
C14orf148	0.442	0.509	0.412
C14orf178	0.225	0.487	0.385
C16orf71	0.004	0.013	0.179
C21orf49	0.038	0.23	0.103
C4orf36	0.067	0.314	0.062
C5orf35	0.37	0.592	0.877
C6orf222*	0.696	0.636	0.624
C6orf225	0.111	0.33	0.573
C6orf52	0.327	0.958	0.972
C7orf57	0.004	0.01	0.142
C9orf106*	0.197	0.369	0.667
CBY3	0.02	0.174	0.743
CCDC13	0.126	0.323	0.032
CCDC27*	0.003	0.006	0.933
CD19	0.351	0.352	0.603
CD200R1	0.271	0.039	0.205
CD80	0.067	0.006	0.028
CDC20B:MIR449A:MIR449B:MIR449C*	0.018	0.04	0.513
CDKN2B-AS1	0.873	0.339	0.65
CEACAM22P	0.083	0.063	0.301
CHAD	0.667	0.855	0.204
CHRNB4*	0.069	0.253	0.735
CLDN16	0.138	0.545	0.167
CLEC4A	0.998	0.591	0.728
CLUL1	0.396	0.951	0.14
CNTN2*	0.025	0.079	0.824
CPNE8	0.326	0.761	0.702
CPS1:CPS1-IT	0.956	0.804	0.372
CSAG1*	0.209	0.244	0.773
CTSE*	0.666	0.566	0.883
CXorf21	0.271	0.196	0.07
CYP17A1	0.473	0.479	0.508
DBIL5P	0.468	0.901	0.458
DKK1*	0.084	0.166	0.746
DLEU7*	0.394	0.878	0.871
DLG2	0.074	0.247	0.898
DLGAP1	0.511	0.631	0.902
DLK2	0.374	0.888	0.308
DPY19L2	0.044	0.066	0.289
DPY19L2P3	0.899	0.786	0.307
ECSCR	0.147	0.484	0.2
EFS	0.261	0.802	0.4
EIF4E1B*	0.067	0.172	0.198
ELAVL2*	0.337	0.485	0.981
ELOVL3	0.832	0.58	0.349
FAM47E	0.247	0.979	0.116
FAT3*	0.132	0.159	0.694
FBXO43	0.743	0.886	0.84
FCAR	0.093	0.092	0.256
FCGR3B	0.22	0.067	0.644
FGF12	0.796	0.458	0.141
FLJ13197	0.038	0.211	0.19
FLJ42289	0.029	0.167	0.983
GAL3ST1	0.936	0.874	0.355
GCNT4	0.374	0.458	0.288
GFRA3	0.038	0.204	0.763
GGT8P	0.031	0.028	0.052
GGTA1	0.931	0.348	0.849
GLUD2	0.296	0.025	0.109
